claim_total,claim_line_sum,avg_line_amount,claims_last_30d,claims_last_90d,days_since_last_claim,claim_duration_days,departure_hour,departure_weekday,distance_user_vs_calc_pct,actual_mileage_vs_calc_pct,gps_variance_km,gps_variance_pct,gps_status,documents_submitted
1161.23,1028.27,210.32,1,2,25,1,7,4,0.0468,0.0008,7.57,0.1093,1,1
1092.44,1061.3,194.56,1,2,20,3,16,4,0.0435,0.0931,1.69,0.036,1,1
370.39,383.95,80.89,0,1,0,3,9,5,-0.0373,-0.0071,16.05,0.1711,2,1
98.5,95.05,34.54,0,0,16,3,15,6,0.1314,0.1002,7.29,0.0576,1,0
282.27,275.08,147.27,1,1,17,3,7,1,-0.065,-0.0442,1.61,0.0828,1,1
392.54,365.72,183.02,0,0,27,1,17,6,0.1904,0.2253,0.0,0.0382,1,1
234.38,205.7,42.67,2,3,4,5,15,2,0.0339,-0.0366,14.26,0.0554,1,1
588.19,604.65,205.96,0,3,14,1,19,5,-0.0879,-0.0655,14.38,0.093,1,1
643.28,636.55,171.51,1,2,36,3,17,0,-0.1038,-0.0825,0.0,0.0372,1,0
687.34,600.99,110.39,0,3,0,2,12,5,0.0204,0.005,0.89,0.0116,1,1
763.12,667.56,105.91,0,2,40,2,12,3,-0.0441,-0.0045,0.06,0.0169,1,1
136.9,120.72,125.87,3,7,44,1,11,4,0.1397,0.0831,4.73,0.0201,1,1
61.85,64.79,20.72,2,4,52,3,12,4,0.0824,0.1087,0.0,0.0152,1,1
653.36,604.14,161.14,0,5,44,1,5,5,0.0896,0.0985,8.73,0.0442,1,1
275.8,264.8,54.87,0,1,40,1,15,4,-0.0417,-0.0095,8.21,0.1229,1,1
431.57,427.51,205.3,1,1,19,3,10,2,0.1191,0.0983,0.0,0.0468,1,1
289.69,255.5,126.8,1,6,30,3,14,1,0.1388,0.2274,0.0,0.0156,1,0
207.82,181.86,42.77,0,4,24,1,20,1,0.1661,0.177,4.75,0.084,1,1
445.09,418.66,79.28,0,4,1,2,8,2,0.0851,-0.0068,0.0,0.1766,2,1
679.41,656.41,115.93,1,2,0,2,13,2,0.0283,0.0421,2.05,0.1032,1,1
424.71,416.33,204.57,1,5,16,1,9,6,0.072,0.1048,9.19,0.1037,1,1
278.55,276.2,50.41,0,3,3,4,9,6,-0.0794,-0.0545,0.0,0.2205,2,1
162.62,145.76,69.92,1,5,14,1,13,5,-0.063,-0.0348,0.0,0.0273,1,1
1110.55,986.75,189.95,0,3,31,4,7,5,-0.1206,-0.0508,2.52,0.0357,1,1
243.74,245.61,62.28,0,1,33,1,9,4,0.1769,0.1064,12.0,0.0068,1,1
1149.53,1179.19,198.13,2,2,8,3,9,5,0.029,-0.0036,15.58,0.1021,1,1
105.45,107.26,99.24,1,3,14,4,12,3,-0.0547,-0.1194,10.83,0.0805,1,1
253.49,266.37,134.67,1,6,33,2,12,3,-0.0784,-0.0017,9.78,0.1334,1,1
802.93,822.14,195.63,2,7,40,3,5,4,-0.026,-0.0695,2.55,0.017,1,1
620.07,624.16,157.86,2,2,18,2,18,2,-0.0608,-0.0512,0.0,0.0475,1,1
1074.06,987.1,155.82,0,5,15,1,11,5,-0.0845,-0.0392,6.25,0.0416,1,1
158.42,148.22,37.06,0,5,15,3,18,2,0.0242,-0.0053,2.94,0.1236,1,1
119.56,124.81,26.21,2,2,30,1,18,3,0.0352,0.0154,0.0,0.0579,1,1
107.86,94.21,28.97,2,5,39,2,7,2,-0.1232,-0.1489,0.0,0.0938,1,1
148.71,154.75,37.84,1,4,18,1,5,5,0.0618,0.0675,0.0,0.0815,1,1
464.41,422.21,72.22,2,2,1,3,18,2,-0.0138,-0.0524,3.3,0.1772,2,1
512.67,482.11,96.43,1,3,24,3,8,1,0.0495,0.0459,4.6,0.0715,1,1
323.09,284.35,101.92,2,7,5,2,15,1,-0.0749,-0.1439,8.81,0.0762,1,1
777.04,781.23,171.6,1,4,44,2,19,6,0.0033,0.0978,0.45,0.1586,2,1
185.62,169.07,79.98,1,6,44,4,12,1,0.0471,0.0984,4.25,0.0869,1,1
231.96,214.48,238.24,2,7,23,1,12,3,0.0079,0.0088,13.46,0.0779,1,1
493.28,452.48,225.35,0,0,63,3,17,0,0.0863,0.0713,2.83,0.0606,1,1
761.18,681.83,232.25,0,1,11,2,11,1,0.0797,0.0146,6.01,0.1148,1,1
167.25,151.49,38.98,0,5,31,4,14,6,0.1672,0.1481,0.0,0.1101,1,1
426.75,405.39,69.57,3,7,21,6,5,3,0.1434,0.093,1.45,0.0703,1,1
79.02,71.43,39.15,1,3,38,1,7,4,-0.2103,-0.306,0.0,0.2936,2,1
731.41,646.68,116.42,3,7,22,2,19,0,0.1272,0.1841,6.62,0.0168,1,1
740.89,654.7,112.4,1,1,46,1,14,3,-0.0592,-0.1131,7.99,0.1326,1,1
347.94,348.0,164.24,1,6,21,2,17,6,0.0187,-0.0369,5.08,0.017,1,1
293.8,289.81,103.21,1,5,66,5,16,6,0.1834,0.152,1.8,0.1084,1,1
1072.16,1115.46,205.91,2,7,32,4,17,2,0.3904,0.3293,6.03,0.1256,1,1
1101.59,1152.73,177.43,0,3,0,1,20,4,0.0201,-0.001,10.49,0.123,1,1
646.49,602.6,124.72,1,5,18,3,15,0,0.208,0.2171,12.98,0.02,1,1
800.69,703.36,240.53,1,2,30,2,18,6,0.1031,0.0661,0.0,0.035,1,1
1003.03,939.35,198.88,3,4,14,4,9,1,0.0112,-0.1096,9.67,0.0579,1,0
102.85,90.68,17.77,2,5,22,3,7,1,0.0244,-0.0007,8.32,0.0379,1,1
1097.65,1056.12,163.38,0,1,25,2,13,6,0.0547,0.0563,0.0,0.1547,2,0
530.56,500.91,128.34,2,7,38,1,10,3,-0.0987,-0.0122,9.18,0.0629,1,0
97.41,99.17,92.03,2,2,76,1,15,4,0.3027,0.293,2.2,0.0086,1,1
1010.08,1041.05,223.54,1,5,37,2,13,5,-0.1412,-0.1484,8.33,0.1668,2,1
40.23,41.58,23.08,1,5,8,1,8,0,0.0957,0.1644,10.73,0.0686,1,1
532.56,530.97,123.03,0,2,9,1,6,2,0.1023,0.066,5.73,0.1269,1,1
954.11,936.54,170.19,0,3,51,2,6,6,-0.0607,-0.0211,12.93,0.0571,1,0
1065.0,1102.72,221.6,3,6,6,4,9,0,-0.0761,-0.0243,1.95,0.1202,1,1
91.05,79.33,40.28,1,3,53,2,13,2,0.2752,0.2163,9.43,0.1084,1,1
735.96,649.32,215.59,3,6,27,2,9,1,-0.0075,-0.0679,0.78,0.1114,1,1
240.04,213.17,198.58,1,6,22,4,20,0,0.1072,0.1521,0.0,0.0084,1,1
861.72,863.86,223.5,1,6,0,4,14,2,0.0781,0.067,10.85,0.0694,1,0
190.29,172.24,82.12,0,1,21,1,7,1,-0.1979,-0.1583,0.0,0.1244,1,1
611.69,623.03,207.04,0,0,47,3,5,1,-0.1485,-0.1152,14.62,0.1076,1,1
571.89,513.05,179.11,0,3,18,2,5,1,-0.0621,-0.0139,9.33,0.2071,2,1
297.14,296.62,92.62,1,1,17,4,11,6,0.1222,0.1286,8.22,0.1073,1,1
85.07,78.81,12.14,3,6,40,2,14,5,0.2185,0.2037,0.0,0.1113,1,1
189.43,179.71,62.37,0,0,6,5,16,4,0.0489,0.0077,0.0,0.07,1,1
527.92,526.74,163.74,2,6,38,1,9,4,0.075,-0.0317,7.69,0.0385,1,1
461.06,482.74,86.7,0,5,25,1,11,2,0.1606,0.1554,0.0,0.0398,1,0
544.36,553.21,96.04,1,4,9,2,20,1,0.039,-0.0412,0.0,0.024,1,0
470.83,473.35,167.06,2,7,9,1,19,6,0.1649,0.1772,5.34,0.0187,1,1
1004.33,893.93,223.46,0,2,23,2,9,1,0.1598,0.1576,16.64,0.0681,1,0
198.24,179.28,85.93,0,1,27,2,13,1,0.0413,0.0434,0.36,0.0874,1,1
41.97,40.51,41.06,0,2,23,2,11,5,0.0359,0.0419,0.0,0.1991,2,1
68.69,69.02,10.99,2,2,12,1,7,6,0.0478,0.1646,8.14,0.0016,1,1
999.08,980.89,223.11,1,6,16,3,17,0,0.0761,0.156,10.63,0.1636,2,1
91.4,82.46,39.56,0,4,45,1,6,5,-0.0626,0.0114,11.17,0.1131,1,1
137.9,140.62,141.35,1,5,13,1,8,5,-0.1162,-0.1251,2.1,0.0105,1,0
819.83,842.75,182.5,2,3,33,2,11,2,0.1956,0.1835,0.0,0.1595,2,1
348.98,321.84,89.34,1,6,40,1,9,0,0.0587,0.0393,1.85,0.0697,1,1
989.43,948.77,247.28,2,2,32,1,15,3,0.2589,0.2572,1.33,0.0811,1,0
1081.46,957.97,165.33,1,6,21,4,16,6,0.0175,0.0381,0.0,0.1253,1,1
1470.69,1362.04,214.16,1,5,15,5,10,0,0.1533,0.0955,8.04,0.114,1,1
904.24,805.55,197.0,0,5,18,1,20,3,0.1437,0.1772,8.48,0.0955,1,1
1446.91,1316.9,218.4,1,6,10,3,8,3,-0.0539,-0.0738,0.14,0.0205,1,1
1091.16,1145.78,224.09,2,7,2,2,20,6,0.1515,0.2234,1.69,0.1367,1,1
336.35,326.34,63.45,1,5,47,1,19,2,0.1258,0.1688,8.78,0.0614,1,1
836.95,755.13,141.78,1,6,0,1,11,5,-0.0893,-0.1972,2.69,0.0977,1,1
404.33,377.88,89.67,1,3,6,3,5,2,0.1511,0.1077,10.71,0.1072,1,1
19.15,19.58,20.99,0,4,23,1,11,1,0.2203,0.2876,6.4,0.2076,2,1
120.06,105.75,35.86,2,6,2,1,9,3,0.1038,0.1854,4.27,0.0096,1,1
1162.69,1068.29,197.46,1,2,28,1,15,4,0.1419,0.1065,0.0,0.012,1,1
1098.69,1055.86,241.26,2,6,40,2,15,5,-0.0511,-0.0564,0.0,0.0898,1,1
660.75,576.43,92.87,2,5,47,2,15,5,0.1337,0.1646,0.0,0.0912,1,1
783.51,741.41,171.82,2,2,10,3,6,5,0.1229,0.1598,5.65,0.1244,1,1
442.99,439.02,211.45,0,4,60,2,8,4,0.183,0.1225,10.53,0.0066,1,1
306.06,280.99,132.62,1,3,19,1,15,4,0.1558,0.2336,7.28,0.121,1,0
988.0,905.65,209.2,3,6,25,1,11,6,0.0376,0.0053,0.0,0.1434,1,1
330.03,344.45,186.42,1,1,40,2,19,5,0.0395,0.0527,3.34,0.165,2,1
1024.13,977.12,157.75,0,3,3,4,15,4,0.0644,0.0957,10.47,0.1145,1,1
583.64,518.01,106.82,0,1,9,4,20,4,-0.0012,0.0618,0.0,0.1839,2,1
1103.64,966.59,157.29,1,5,5,4,8,3,0.042,0.1222,11.15,0.0931,1,1
961.02,1002.35,202.68,2,5,17,3,5,5,0.0268,0.0951,7.57,0.1007,1,1
71.19,63.24,59.34,0,4,0,3,7,5,0.0397,0.0296,3.66,0.061,1,1
432.26,405.88,200.61,1,3,40,1,5,3,-0.0433,-0.072,0.0,0.0187,1,1
114.32,111.91,20.92,0,3,17,4,7,2,0.0623,0.0089,0.0,0.143,1,1
365.34,329.33,62.77,2,5,11,1,16,0,0.2892,0.2292,1.48,0.085,1,1
643.18,648.36,141.41,1,5,22,1,9,1,0.117,0.1804,3.95,0.1145,1,1
1304.77,1148.09,214.54,2,5,24,2,8,1,0.0934,0.0845,0.0,0.0622,1,1
70.87,71.68,78.43,2,4,11,4,9,4,-0.149,-0.186,7.52,0.0691,1,1
374.03,372.05,180.93,0,1,48,1,14,3,0.0664,0.0369,2.81,0.0254,1,0
461.31,420.63,223.91,0,3,19,1,5,6,-0.0565,-0.0816,0.0,0.0017,1,1
1223.11,1131.69,224.56,2,7,41,1,9,3,-0.0764,-0.0981,3.98,0.0733,1,1
895.72,915.8,174.2,1,1,1,1,9,5,0.018,-0.0996,13.83,0.1098,1,1
266.6,268.93,98.66,2,4,14,2,15,0,0.0604,0.043,0.0,0.1437,1,1
734.49,716.08,146.84,0,3,31,2,13,3,0.134,0.1279,0.0,0.152,2,1
905.29,803.69,222.92,0,3,30,2,10,2,0.1172,0.0433,0.0,0.0416,1,1
124.05,125.03,125.56,0,0,27,2,6,1,-0.0137,-0.0269,2.84,0.0656,1,1
57.03,54.14,49.92,0,3,54,3,14,0,-0.0839,-0.0696,12.02,0.001,1,1
727.67,653.15,154.2,1,2,16,1,15,3,0.0128,0.002,1.7,0.1058,1,1
1119.21,1082.45,216.3,1,3,32,2,8,0,0.0276,0.0014,4.35,0.0245,1,0
1023.34,999.28,165.82,0,0,10,2,20,6,0.063,0.0169,8.41,0.0639,1,1
162.05,155.01,33.45,1,2,64,3,11,0,-0.036,-0.0584,0.0,0.0491,1,1
389.45,377.46,59.3,1,1,1,3,13,6,-0.1008,-0.1153,0.0,0.0603,1,1
241.47,230.74,109.17,0,1,43,2,17,5,0.1533,0.2179,13.14,0.1171,1,1
75.56,68.25,34.07,2,6,2,1,6,1,-0.0808,-0.0352,7.74,0.0428,1,1
519.59,522.54,114.49,1,3,27,4,14,5,0.0338,0.0506,3.53,0.0864,1,1
66.92,60.24,58.41,0,1,51,2,12,4,0.0658,0.0776,4.01,0.0817,1,1
590.66,573.99,197.12,0,4,12,2,14,5,0.0718,0.1251,0.0,0.024,1,1
