claim_total,claims_last_30d,claims_last_90d,days_since_last_claim,claim_duration_days
242.04,2,4,52,2
263.42,0,0,16,4
382.45,0,0,80,5
351.5,1,3,116,6
2403.22,6,6,30,5
208.24,2,3,24,6
431.27,1,3,19,7
151.77,1,1,82,6
170.35,0,2,94,7
202.92,0,1,116,2
230.35,0,0,16,6
219.28,1,3,25,3
195.97,2,2,118,1
389.49,0,0,39,4
268.54,1,4,39,2
101.22,1,1,41,6
268.98,2,4,10,2
319.69,0,1,43,2
393.86,1,3,20,1
243.79,0,3,73,6
301.42,2,4,14,4
690.36,1,8,29,2
3090.92,5,11,22,11
101.83,0,2,26,7
2570.44,6,11,2,7
159.49,2,5,72,1
189.62,1,2,47,7
279.71,0,1,120,7
377.31,2,3,35,1
138.77,2,3,102,7
129.71,2,5,64,7
310.75,2,4,115,6
247.89,1,4,85,3
316.13,1,1,44,4
75.6,1,1,87,7
906.33,5,13,12,8
479.39,2,2,62,7
134.71,2,5,69,2
2527.35,3,4,16,11
161.48,1,4,72,5
213.75,1,4,57,7
319.04,2,4,13,3
355.26,1,3,97,7
457.85,0,2,15,5
462.53,1,4,21,5
88.12,2,5,87,7
107.51,2,2,87,6
212.82,1,3,28,2
394.76,0,1,22,2
429.98,0,0,89,3
3281.14,5,11,4,3
361.77,2,3,97,4
213.93,2,3,61,5
386.83,1,2,73,2
413.87,1,2,52,6
4929.98,4,8,24,7
238.39,0,1,107,5
162.5,2,5,116,3
96.16,2,2,41,1
172.75,2,3,111,4
459.72,1,3,8,4
275.9,0,3,15,3
193.41,0,2,106,2
179.09,1,2,102,6
326.9,0,0,37,2
296.96,2,5,19,7
185.52,0,1,58,6
255.7,0,3,81,5
281.91,0,1,42,4
208.76,2,5,28,6
285.56,1,1,72,5
494.74,2,2,54,7
336.05,1,3,100,1
80.4,0,0,103,5
199.63,0,2,74,3
128.79,2,5,94,4
415.17,0,3,9,3
405.99,0,2,44,5
416.92,1,3,9,7
178.75,0,2,39,1
246.62,1,4,119,4
134.07,2,5,52,7
410.51,2,5,15,4
420.05,2,4,46,1
347.41,1,4,82,6
360.39,1,4,10,6
2086.52,4,8,20,13
837.69,6,12,11,9
355.73,0,1,113,5
247.17,0,0,35,7
212.96,2,2,82,2
476.96,1,4,102,1
288.25,1,3,88,3
101.05,2,3,68,5
302.75,1,3,95,4
325.34,2,5,30,1
83.32,0,3,16,7
430.48,1,3,95,1
180.66,1,2,96,6
3369.65,3,11,7,2
4064.3,2,9,0,6
216.01,2,3,83,1
229.17,2,5,72,4
420.49,0,1,45,6
259.62,2,4,21,7
337.9,0,1,60,5
749.36,1,9,4,5
195.19,2,3,49,5
4306.7,3,6,20,9
331.25,2,2,69,6
473.71,0,1,89,5
322.31,2,2,110,7
70.46,2,4,88,2
237.46,2,2,68,6
338.85,1,4,36,7
232.74,1,1,93,1
237.03,1,2,48,5
437.66,1,3,56,2
281.74,0,2,35,4
252.31,0,0,11,3
4388.74,4,7,30,14
4160.65,5,10,6,13
498.18,1,4,117,3
90.52,1,4,35,2
71.9,1,4,81,7
261.76,2,2,113,1
447.1,2,4,102,4
230.26,2,3,51,5
223.85,1,3,110,5
103.46,0,3,52,7
3010.24,3,5,6,10
275.03,0,0,22,6
263.18,1,2,82,5
469.11,1,2,55,5
184.65,1,4,95,5
417.08,1,3,91,1
3126.66,6,16,0,10
485.17,2,3,97,1
126.73,2,5,23,7
64.21,2,2,29,1
238.45,1,2,57,5
464.23,2,2,95,2
302.39,2,5,72,4
127.93,2,4,74,3
440.44,2,4,83,4
160.93,2,4,33,3
367.2,2,5,45,4
470.16,2,4,41,1
294.43,1,3,103,7
68.93,2,2,49,4
386.29,0,1,110,5
302.9,1,2,18,5
157.67,0,1,86,2
235.98,2,5,17,6
52.33,2,3,57,6
4452.8,4,14,6,13
1945.25,6,6,29,13
308.35,2,2,27,4
1291.05,1,7,25,8
387.04,1,1,6,3
98.28,1,3,63,6
272.26,0,3,39,2
198.8,2,5,87,3
56.34,1,3,77,6
128.97,2,5,110,4
89.03,2,2,28,2
471.11,0,2,54,2
170.14,1,3,79,6
167.7,1,2,12,6
188.06,1,3,93,1
473.28,1,2,33,2
254.74,2,4,58,6
261.87,2,3,102,2
318.11,0,3,72,6
462.75,0,0,111,5
1409.71,5,7,5,6
2488.28,6,9,22,10
454.49,1,1,63,2
255.55,0,3,91,7
59.8,1,1,100,2
70.38,1,1,74,1
810.59,4,4,9,7
110.94,2,5,52,4
462.69,1,4,15,6
4435.49,2,12,27,6
496.77,1,2,98,2
390.27,1,4,91,6
289.36,0,1,63,3
134.81,2,2,9,7
326.71,0,1,31,1
65.11,2,2,36,6
247.53,2,3,101,7
113.06,1,2,109,6
309.86,2,4,35,3
4935.63,5,8,13,5
300.52,2,3,85,6
273.02,1,4,105,5
237.34,0,2,53,2
263.08,0,2,114,6
258.36,0,3,58,5
224.78,1,2,47,6
252.4,1,1,73,6
73.19,1,1,116,1
392.76,2,3,66,2
1998.34,1,4,29,4
1027.92,4,7,22,10
228.48,0,2,104,3
290.14,1,3,38,3
273.77,0,3,102,7
141.41,1,4,10,5
3835.64,1,5,17,10
237.91,0,1,47,2
425.0,1,3,37,7
484.92,2,5,63,2
208.48,0,3,28,5
4807.57,5,5,26,14
418.09,0,0,57,2
154.14,2,3,6,2
217.94,2,5,89,4
289.49,1,1,7,5
291.08,1,1,69,7
243.75,0,0,17,5
136.37,2,4,109,3
228.6,1,4,63,5
363.75,1,1,88,7
64.26,1,4,53,5
336.53,2,3,15,4
340.2,1,1,119,5
1533.95,6,15,15,5
83.46,1,1,27,7
482.65,2,3,101,7
229.23,0,2,25,5
425.58,1,3,54,7
405.72,2,2,69,6
741.63,4,7,26,2
396.04,2,5,104,3
172.99,1,4,34,3
218.94,0,3,15,7
409.12,2,2,15,3
370.25,2,3,99,4
97.95,0,2,61,3
96.0,0,1,60,4
280.59,0,0,16,3
318.61,1,4,6,3
400.62,2,3,78,5
221.33,0,2,43,3
78.47,1,3,58,3
84.61,1,2,97,6
327.49,1,1,22,3
228.06,2,5,107,7
200.63,2,3,43,3
362.87,1,3,27,4
1811.52,6,16,15,10
196.65,1,4,51,1
1399.1,5,7,21,13
478.84,1,2,61,7
361.77,1,4,22,6
163.7,0,3,106,4
495.81,1,4,73,5
4413.35,4,12,1,13
3657.35,5,14,20,2
161.7,2,4,26,6
303.44,2,5,101,3
2437.05,1,2,8,4
283.45,2,3,62,3
397.55,2,3,49,1
182.94,0,0,111,6
190.35,1,2,71,4
93.93,2,5,45,1
414.58,0,0,113,3
354.71,0,1,71,2
198.94,1,4,34,7
133.0,2,5,55,1
447.38,1,4,54,1
142.6,2,2,78,1
291.59,1,3,30,4
351.81,1,3,81,4
314.15,1,3,113,4
416.17,2,4,83,5
110.28,0,1,44,1
362.04,2,5,58,5
222.67,0,3,86,5
340.36,0,1,67,3
191.56,1,1,115,3
2680.74,2,8,30,9
272.73,2,5,58,6
269.91,0,0,106,7
64.71,0,2,26,7
384.13,1,1,78,1
294.39,1,1,102,6
148.34,1,1,99,7
161.39,0,3,38,3
891.42,1,4,6,13
360.1,2,5,26,5
142.98,0,0,77,3
318.58,0,2,95,3
170.3,2,2,22,7
463.44,1,2,94,7
115.81,1,2,102,7
270.25,2,4,85,4
83.98,0,3,70,6
471.34,1,4,67,3
441.0,2,2,98,4
363.77,0,3,32,4
272.62,1,3,48,5
304.76,1,3,119,6
70.67,2,5,7,1
1210.93,4,4,30,7
359.86,0,2,25,7
1733.09,6,11,8,2
456.7,0,0,55,6
364.74,0,3,88,1
50.49,1,1,21,5
355.99,0,0,94,3
494.66,1,2,66,1
90.2,0,0,45,3
1117.08,2,12,21,3
303.48,2,3,61,3
332.63,0,3,83,6
147.76,0,1,101,1
222.81,1,3,106,2
340.07,0,2,104,6
431.17,1,2,71,5
386.52,1,1,105,7
2726.99,1,4,15,11
287.72,0,2,45,2
427.53,1,3,74,6
261.95,0,0,80,1
147.08,0,3,69,3
275.47,1,4,94,4
291.45,2,3,40,1
280.08,0,1,73,3
335.43,2,2,44,6
479.03,0,0,36,1
1021.94,5,14,1,5
346.12,0,0,6,6
55.11,1,3,71,5
374.34,0,2,21,6
170.94,0,0,47,7
285.73,1,1,68,4
74.95,2,3,52,2
96.31,2,2,34,6
69.82,0,1,10,4
464.09,0,0,75,7
3833.0,4,7,10,4
374.12,1,1,78,3
352.99,0,1,33,7
70.67,1,1,117,4
3980.87,3,8,2,9
216.01,1,3,99,5
215.72,1,2,98,5
160.3,0,3,8,2
336.17,2,2,47,1
219.32,2,4,18,2
157.17,1,1,23,6
69.75,0,3,94,3
386.55,2,2,69,2
227.45,2,2,60,6
1565.47,3,8,29,13
424.35,1,3,62,3
474.59,0,0,24,1
259.72,1,1,73,3
1434.36,3,10,8,14
120.93,2,4,110,6
68.15,1,2,16,6
210.08,2,2,91,3
495.79,0,3,114,4
297.55,0,3,18,7
104.65,0,1,21,2
217.5,2,2,79,5
415.73,0,0,30,6
107.95,1,1,10,4
465.85,1,4,68,1
241.99,1,2,28,3
447.53,0,1,87,3
447.24,1,1,16,3
238.65,2,3,85,7
58.79,1,3,66,5
204.81,2,4,54,3
193.49,0,0,119,7
76.37,1,3,103,5
4882.91,1,4,21,4
417.32,2,2,102,2
492.19,1,3,112,7
156.45,1,3,80,1
208.25,2,3,77,2
414.67,1,3,27,4
75.28,2,3,7,5
199.28,2,3,108,2
129.86,1,1,7,2
462.74,0,2,14,3
347.96,2,2,48,3
489.13,2,5,106,6
3421.31,2,10,22,10
150.45,2,3,53,3
182.53,0,0,94,5
497.42,2,2,28,5
413.96,2,3,86,5
273.28,1,1,35,3
1255.49,1,11,20,12
2509.83,3,6,7,12
165.49,0,0,11,4
238.84,0,3,68,4
218.9,1,2,25,4
430.58,1,1,45,3
833.9,2,8,5,12
473.82,0,2,81,5
3670.27,4,14,5,10
1206.97,1,6,6,4
299.35,2,4,89,3
93.16,1,4,24,1
242.42,1,4,30,1
126.87,1,1,65,7
403.19,1,4,119,6
338.83,1,2,52,4
250.59,1,4,64,3
170.85,0,1,101,6
88.57,1,4,101,5
77.44,1,4,73,6
2636.71,2,9,9,2
434.26,0,1,20,7
477.07,0,1,108,2
240.51,2,5,30,7
425.34,1,3,98,7
224.64,1,3,114,3
462.71,0,3,19,4
304.96,2,2,18,5
403.58,2,4,117,4
344.65,2,5,9,2
114.73,2,5,9,4
1991.72,2,2,23,8
4536.64,1,6,26,13
176.15,1,1,116,2
488.39,1,3,39,6
340.49,0,3,32,7
268.0,2,4,110,1
121.54,1,4,22,7
4457.0,1,3,6,14
75.93,0,3,11,3
173.29,1,4,86,1
158.87,1,4,27,7
298.09,1,2,112,3
359.98,1,1,54,1
307.51,0,1,87,2
171.08,1,1,115,7
3569.9,4,6,20,3
53.81,1,3,96,6
240.71,1,3,63,3
185.96,2,5,79,1
499.73,1,3,43,6
78.73,1,3,115,3
369.99,2,4,29,2
158.13,0,3,89,3
374.57,2,5,42,3
2320.7,6,6,18,12
4172.07,3,6,21,9
264.08,2,4,69,3
428.28,2,3,42,1
383.41,2,3,92,3
150.01,0,2,58,7
2172.57,5,9,14,14
74.15,2,2,65,2
440.37,1,3,57,1
1178.5,2,7,13,10
4939.92,2,7,27,12
86.36,1,2,45,6
253.42,0,1,78,7
403.34,0,1,83,4
231.52,1,4,5,1
378.79,0,2,101,7
58.06,0,1,33,6
1904.42,1,7,16,10
79.38,0,2,42,4
318.36,1,4,118,6
2042.3,4,9,24,4
458.09,1,1,34,2
109.04,2,2,80,5
214.96,2,2,53,6
290.62,0,0,89,1
58.88,2,2,58,4
296.27,1,2,31,6
54.19,1,1,89,5
322.53,0,3,111,1
327.96,1,1,105,1
324.04,1,2,50,6
122.17,2,5,31,6
1987.72,1,1,21,2
4258.54,6,13,4,2
83.77,2,2,120,3
255.53,1,3,64,1
128.61,0,2,51,7
241.69,0,0,113,7
543.53,2,12,20,3
452.53,2,4,117,6
416.73,0,0,56,4
1723.25,4,11,25,7
408.6,0,1,94,6
474.1,0,0,58,5
306.02,1,2,83,4
325.11,2,3,66,4
235.07,0,0,38,6
367.05,2,3,90,7
285.39,2,2,60,6
266.86,2,5,24,7
451.42,2,2,6,6
2775.05,4,11,27,3
271.24,0,2,40,1
297.72,1,4,109,2
249.88,2,5,16,7
192.22,1,1,18,4
300.7,0,0,106,5
3368.92,5,13,6,11
477.65,1,1,109,2
199.38,2,5,96,6
253.64,0,1,5,3
335.14,1,3,94,1
123.87,0,3,18,3
134.39,1,2,63,7
372.55,0,3,10,6
314.96,1,4,89,5
1105.86,4,4,16,12
470.88,2,5,70,7
1297.41,5,7,23,14
224.33,2,4,69,4
324.04,2,3,40,4
4867.21,4,6,4,7
448.89,2,4,112,6
191.26,2,3,30,2
180.76,1,2,95,6
1300.16,5,15,10,12
208.5,1,4,91,6
2902.56,4,4,16,2
115.4,2,2,30,3
122.42,1,3,23,7
402.95,0,0,50,7
327.24,2,3,100,6
156.92,2,4,93,6
221.71,1,3,75,1
163.1,2,5,111,2
3670.83,6,11,24,10
321.52,2,3,42,4
357.19,0,1,99,5
68.28,1,3,21,2
164.75,1,4,95,2
467.87,2,2,104,6
347.84,1,3,14,7
286.42,0,0,105,5
294.38,1,1,49,2
3485.01,3,8,9,4
3282.26,4,12,26,13
539.62,6,11,14,4
3261.65,5,8,30,1
194.42,0,3,37,5
61.12,2,4,70,7
269.06,1,2,46,5
93.18,2,2,85,1
333.28,0,3,111,1
422.93,2,5,87,7
3861.01,2,2,14,12
89.38,0,1,106,3
308.73,0,2,57,4
232.0,1,1,54,6
52.65,2,2,101,6
365.39,0,2,69,1
358.64,2,2,41,7
2216.36,6,6,15,3
111.37,1,3,86,2
449.13,2,4,6,5
1136.18,1,1,18,10
296.38,0,2,31,6
376.66,0,3,120,6
1141.05,2,5,19,14
101.58,2,2,113,7
4974.41,4,14,17,2
80.31,0,1,97,5
198.88,0,1,17,3
455.04,1,4,62,3
187.55,2,3,77,5
192.35,1,2,5,3
149.68,2,5,40,7
355.8,1,4,64,4
187.46,2,2,27,6
428.8,0,1,38,6
844.08,1,1,27,9
415.68,2,5,103,5
66.49,1,4,88,7
226.62,2,4,22,4
90.75,1,1,89,2
412.93,2,3,101,5
121.65,2,3,99,6
211.45,0,3,34,1
155.31,2,3,71,7
261.35,1,1,10,6
366.67,2,4,111,6
294.95,0,3,88,4
343.99,0,2,53,2
208.8,1,4,106,4
529.69,2,9,5,4
339.56,0,1,28,2
372.78,0,1,58,7
101.0,2,5,66,2
341.26,1,1,36,1
316.55,0,0,119,5
124.85,0,3,81,5
445.32,2,4,15,2
496.74,1,2,33,7
114.22,2,3,84,6
125.47,2,4,63,5
153.41,1,2,18,1
436.81,2,5,110,2
129.84,2,2,117,7
388.56,0,3,89,2
2926.79,1,11,20,7
216.67,0,3,34,7
395.89,1,1,59,2
394.63,0,2,81,5
135.06,2,2,78,5
53.24,2,3,93,7
213.02,0,3,88,5
434.73,1,3,83,3
2288.54,2,8,17,13
130.42,2,5,37,3
398.38,1,2,114,7
386.51,1,2,17,2
403.73,2,2,25,4
523.81,1,3,15,10
78.84,0,2,15,5
222.94,1,3,96,5
398.12,0,3,61,1
345.59,2,4,29,1
279.74,2,3,83,2
211.88,2,2,25,1
4008.53,3,13,12,7
282.98,2,2,16,5
423.39,2,4,49,7
322.86,0,3,56,5
128.76,2,2,76,1
202.98,0,2,117,5
308.7,2,5,53,5
159.47,1,4,92,4
4379.1,4,5,8,2
404.89,0,1,107,3
208.89,2,2,94,7
179.28,1,3,14,5
2644.5,3,6,28,10
476.19,2,3,68,6
380.94,1,2,34,2
426.34,1,2,104,1
85.32,2,5,83,1
293.66,0,3,52,5
454.15,2,4,67,2
4622.03,3,9,7,13
74.37,1,4,74,1
227.17,2,3,63,1
257.03,2,2,6,6
311.45,1,3,83,7
296.85,0,2,65,5
132.76,1,2,58,6
214.28,1,3,62,2
490.66,2,3,109,1
411.83,2,5,114,4
410.01,2,3,65,7
239.68,0,2,105,4
302.96,2,2,55,1
77.02,1,4,112,6
385.06,1,3,51,5
414.5,1,1,57,1
355.81,2,3,78,5
292.29,1,3,46,6
398.63,1,1,53,5
334.26,0,1,86,7
2398.17,5,14,12,14
856.0,3,6,10,6
369.69,2,5,39,4
472.44,2,5,57,2
60.4,2,3,89,3
3653.14,1,4,5,7
78.71,1,1,8,7
394.24,0,0,38,5
344.67,1,3,34,2
249.42,0,1,72,7
65.82,1,3,115,4
441.9,1,4,22,6
315.87,1,4,72,6
189.34,1,4,74,2
248.83,1,4,38,2
50.04,0,2,41,4
359.49,1,4,43,1
409.08,2,3,106,1
134.86,2,5,55,2
381.7,1,4,33,3
331.39,2,4,41,6
413.96,1,2,114,1
180.31,2,5,84,4
330.23,0,2,7,2
290.73,0,0,41,3
247.28,0,1,16,2
147.73,1,3,105,7
217.12,2,2,47,1
478.23,0,2,104,4
261.56,0,2,109,4
104.88,2,3,54,7
1612.23,1,4,14,12
284.51,0,3,54,6
4712.97,2,12,23,1
297.31,0,2,66,6
212.19,0,1,19,2
196.03,0,2,79,1
159.39,0,3,93,5
396.85,0,1,68,1
202.29,2,2,12,3
365.59,0,1,67,2
301.25,2,4,108,4
59.61,1,3,97,2
67.77,2,5,76,3
270.54,2,3,74,3
260.77,2,3,13,5
183.05,1,3,63,1
277.68,2,3,118,1
213.83,2,3,46,6
485.21,1,2,72,6
298.15,2,4,46,4
99.71,2,2,10,7
1303.87,1,4,3,8
64.32,2,5,89,4
365.58,1,1,51,2
81.89,0,3,118,7
410.45,0,2,76,6
2371.79,3,3,26,10
68.29,0,2,14,2
937.04,6,9,17,7
286.78,0,1,76,6
385.74,2,4,91,4
242.18,0,1,106,2
277.11,2,3,73,5
208.54,1,3,113,3
334.95,2,4,82,2
146.27,2,4,51,4
228.69,2,2,41,5
110.79,1,1,43,2
191.7,2,4,75,5
466.66,0,0,9,4
112.28,1,2,34,3
91.36,1,2,98,1
406.8,0,3,110,6
418.77,0,2,9,6
221.69,0,2,49,7
468.6,0,1,100,6
467.88,2,5,11,3
193.69,2,3,46,5
118.94,2,5,62,7
277.12,0,3,42,7
109.48,0,3,78,6
229.63,0,3,69,4
108.67,0,3,76,2
343.51,0,1,36,1
243.53,2,2,19,6
214.37,0,2,49,5
396.35,0,2,83,7
2489.95,2,9,1,14
358.4,0,0,19,6
477.01,0,2,6,3
100.07,1,4,7,3
292.1,0,2,75,4
496.53,2,2,53,5
2870.6,3,5,1,5
363.43,1,1,64,6
799.69,6,10,21,14
2120.99,1,1,9,14
2239.35,4,12,22,2
2680.98,5,13,2,3
485.05,2,2,10,2
1872.17,4,10,23,3
357.93,1,3,35,5
77.9,1,4,118,7
4748.62,3,6,4,6
3456.19,1,7,16,11
331.48,0,3,35,5
486.73,2,4,62,5
343.61,2,3,115,2
367.3,2,3,60,7
469.85,0,2,13,5
373.74,0,2,112,2
394.44,1,4,43,4
419.76,2,4,24,7
109.19,0,2,82,5
318.36,0,0,50,1
264.47,2,5,96,6
433.45,1,4,22,2
64.5,0,2,57,2
494.7,0,0,27,4
2704.74,3,10,28,4
399.29,2,5,97,3
472.6,2,2,71,1
422.15,0,1,71,5
380.82,2,5,71,7
72.18,1,4,55,3
178.66,0,3,42,5
3604.79,2,9,26,11
375.18,0,1,104,5
3632.51,2,8,13,6
130.49,2,3,117,4
195.83,2,3,96,6
101.37,1,3,15,5
377.09,2,3,53,5
395.71,1,2,25,7
396.11,0,3,44,3
482.43,1,2,20,2
515.9,3,3,14,8
2945.76,1,10,28,8
314.98,1,4,57,4
320.04,0,2,84,6
421.36,0,1,23,1
66.52,0,2,47,1
237.63,0,1,91,3
361.17,2,3,63,6
469.16,0,2,46,3
4191.19,4,12,2,5
104.91,1,3,72,4
363.12,2,2,18,5
333.03,0,3,97,6
404.68,2,4,59,5
166.84,2,4,21,5
283.86,2,5,68,7
324.23,2,4,29,1
259.19,0,1,107,5
2363.19,3,8,17,13
55.08,0,2,37,7
185.12,2,4,103,1
199.97,1,1,111,2
425.21,2,5,65,7
111.09,0,3,119,7
200.8,1,1,111,5
376.23,1,1,31,5
409.78,1,1,24,3
202.62,1,2,78,5
317.83,1,3,95,1
89.06,0,2,62,7
1472.63,3,5,3,6
400.0,0,3,69,1
457.22,0,1,48,4
285.63,1,2,103,7
492.01,2,3,31,6
224.41,2,2,5,3
3591.74,5,6,10,8
963.96,6,10,0,10
337.48,0,2,30,2
289.52,1,1,39,2
101.51,2,2,31,5
193.32,0,2,78,2
190.12,1,4,11,2
456.47,0,0,54,1
226.36,2,5,83,3
417.84,2,2,101,7
109.31,2,5,17,4
339.98,1,4,34,2
453.06,1,3,55,2
349.32,1,4,67,1
100.8,1,4,113,2
206.87,2,3,70,1
371.42,0,2,76,6
185.95,1,4,80,4
159.66,0,3,54,1
416.25,2,5,105,4
203.99,2,3,27,6
382.71,2,5,19,5
196.42,0,3,27,3
813.23,1,11,26,10
220.51,1,1,16,2
449.26,2,2,101,2
253.83,1,4,83,5
142.55,1,3,77,7
1870.48,4,9,2,10
493.88,1,2,114,3
455.48,0,0,95,5
211.66,1,1,35,4
227.42,1,4,56,4
145.05,0,3,22,2
429.49,1,4,24,3
3515.3,2,2,2,11
374.6,1,4,22,1
412.67,1,4,84,2
240.85,1,4,50,2
322.05,2,5,113,6
275.77,1,3,9,1
367.19,0,3,93,1
379.07,1,4,71,1
324.53,0,3,85,6
350.92,2,4,83,1
2907.65,1,8,14,9
3082.84,3,9,11,13
125.38,2,4,98,7
77.64,1,2,78,1
181.29,2,2,41,4
277.51,1,3,21,5
436.03,0,0,82,2
3825.35,6,13,11,13
402.13,0,3,28,7
64.89,0,1,81,7
273.17,1,4,35,6
336.9,0,2,11,6
418.78,0,1,64,4
264.32,2,3,53,6
263.56,0,3,6,3
2519.69,6,11,30,9
68.46,2,4,113,4
343.42,1,3,39,3
164.9,2,5,64,7
158.81,2,3,71,3
496.94,1,1,91,1
55.38,0,0,92,4
376.36,1,2,9,1
75.6,2,3,81,6
481.0,0,1,53,6
341.55,0,0,94,2
260.13,0,3,40,7
456.52,1,3,25,7
399.69,1,4,47,1
415.75,0,3,13,4
